architecture,year,field_id,field_name,publications
Perceptron,2004,33,Social Sciences,8
Perceptron,2004,34,Veterinary,1
Perceptron,2004,35,Dentistry,0
Perceptron,2004,36,Health Professions,5
Perceptron,2005,11,Agricultural and Biological Sciences,6
Perceptron,2005,12,Arts and Humanities,7
Perceptron,2005,13,"Biochemistry, Genetics and Molecular Biology",62
Perceptron,2005,14,"Business, Management and Accounting",15
Perceptron,2005,15,Chemical Engineering,3
Perceptron,2005,16,Chemistry,7
Perceptron,2005,17,Computer Science,558
Perceptron,2005,18,Decision Sciences,15
Perceptron,2005,19,Earth and Planetary Sciences,16
Perceptron,2005,20,"Economics, Econometrics and Finance",5
Perceptron,2005,21,Energy,0
Perceptron,2005,22,Engineering,237
Perceptron,2005,23,Environmental Science,66
Perceptron,2005,24,Immunology and Microbiology,1
Perceptron,2005,25,Materials Science,6
Perceptron,2005,26,Mathematics,3
Perceptron,2005,27,Medicine,57
Perceptron,2005,28,Neuroscience,36
Perceptron,2005,29,Nursing,1
Perceptron,2005,30,"Pharmacology, Toxicology and Pharmaceutics",0
Perceptron,2005,31,Physics and Astronomy,23
Perceptron,2005,32,Psychology,9
Perceptron,2005,33,Social Sciences,13
Perceptron,2005,34,Veterinary,0
Perceptron,2005,35,Dentistry,3
Perceptron,2005,36,Health Professions,2
Perceptron,2006,11,Agricultural and Biological Sciences,11
Perceptron,2006,12,Arts and Humanities,8
Perceptron,2006,13,"Biochemistry, Genetics and Molecular Biology",66
Perceptron,2006,14,"Business, Management and Accounting",9
Perceptron,2006,15,Chemical Engineering,3
Perceptron,2006,16,Chemistry,25
Perceptron,2006,17,Computer Science,608
Perceptron,2006,18,Decision Sciences,24
Perceptron,2006,19,Earth and Planetary Sciences,24
Perceptron,2006,20,"Economics, Econometrics and Finance",7
Perceptron,2006,21,Energy,4
Perceptron,2006,22,Engineering,283
Perceptron,2006,23,Environmental Science,52
Perceptron,2006,24,Immunology and Microbiology,1
Perceptron,2006,25,Materials Science,10
Perceptron,2006,26,Mathematics,6
Perceptron,2006,27,Medicine,48
Perceptron,2006,28,Neuroscience,26
Perceptron,2006,29,Nursing,1
Perceptron,2006,30,"Pharmacology, Toxicology and Pharmaceutics",1
Perceptron,2006,31,Physics and Astronomy,14
Perceptron,2006,32,Psychology,8
Perceptron,2006,33,Social Sciences,6
Perceptron,2006,34,Veterinary,1
Perceptron,2006,35,Dentistry,1
Perceptron,2006,36,Health Professions,13
